nom_du_joueur;IDjoueur;nom_du_jeu;action_de_jeu;mise;difficulty;score;gagnant
pam;4635ohkot;Motrice;5;7;4.034264097200273;-4;0
pam;4635ohkot;Motrice;6;2;3.1634973615297346;-2;1
pam;4635ohkot;Motrice;7;3;4.034264097200273;1;1
pam;4635ohkot;Motrice;8;4;4.7534692783297245;-3;0
pam;4635ohkot;Motrice;9;5;4.034264097200273;-8;0
pam;4635ohkot;Motrice;10;5;3.1634973615297346;-3;1
pam;4635ohkot;Motrice;11;5;4.034264097200273;2;1
pam;4635ohkot;Motrice;12;5;4.7534692783297245;7;1
pam;4635ohkot;Motrice;13;1;5.381755349031991;6;0
pam;4635ohkot;Motrice;14;1;4.7534692783297245;5;0
pam;4635ohkot;Motrice;15;7;4.034264097200273;12;1
pam;4635ohkot;Motrice;16;5;4.7534692783297245;7;0
pam;4635ohkot;Motrice;17;4;4.034264097200273;3;0
pam;4635ohkot;Motrice;18;7;3.1634973615297346;-4;0
pam;4635ohkot;Motrice;19;7;2.006938556659452;3;1
pam;4635ohkot;Motrice;20;7;3.1634973615297346;10;1
pam;4635ohkot;Motrice;21;7;4.034264097200273;17;1
pam;4635ohkot;Motrice;22;7;4.7534692783297245;24;1
pam;4635ohkot;Motrice;23;1;5.381755349031991;25;1
pam;4635ohkot;Motrice;24;4;5.95240197898444;21;0
pam;4635ohkot;Motrice;25;2;5.381755349031991;19;0
pam;4635ohkot;Motrice;26;2;4.7534692783297245;17;0
pam;4635ohkot;Motrice;27;3;4.034264097200273;20;1
pam;4635ohkot;Motrice;28;5;4.7534692783297245;25;1
pam;4635ohkot;Motrice;29;6;5.381755349031991;31;1
pam;4635ohkot;Motrice;30;7;5.95240197898444;24;0
pam;4635ohkot;Logique2;1;7;0.1;-7;0
pam;4635ohkot;Logique2;2;7;0;0;1
pam;4635ohkot;Logique2;3;7;0.1;7;1
pam;4635ohkot;Logique2;4;7;0.2;14;1
pam;4635ohkot;Logique2;5;5;0.30000000000000004;19;1
pam;4635ohkot;Logique2;6;7;0.4;26;1
pam;4635ohkot;Logique2;7;7;0.5;33;1
pam;4635ohkot;Logique2;8;7;0.6;40;1
pam;4635ohkot;Logique2;9;5;0.7;45;1
pam;4635ohkot;Logique2;10;7;0.7999999999999999;52;1
pam;4635ohkot;Logique2;11;7;0.8999999999999999;45;0
pam;4635ohkot;Logique2;12;7;0.7999999999999999;52;1
pam;4635ohkot;Logique2;13;7;0.8999999999999999;45;0
pam;4635ohkot;Logique2;14;7;0.7999999999999999;38;0
pam;4635ohkot;Logique2;15;7;0.7;31;0
pam;4635ohkot;Logique2;16;7;0.6;38;1
pam;4635ohkot;Logique2;17;7;0.7;45;1
pam;4635ohkot;Logique2;18;7;0.7999999999999999;38;0
pam;4635ohkot;Logique2;19;6;0.7;32;0
pam;4635ohkot;Logique2;20;7;0.6;39;1
pam;4635ohkot;Logique2;21;7;0.7;46;1
pam;4635ohkot;Logique2;22;7;0.7999999999999999;53;1
pam;4635ohkot;Logique2;23;7;0.8999999999999999;46;0
pam;4635ohkot;Logique2;24;7;0.7999999999999999;53;1
pam;4635ohkot;Logique2;25;1;0.8999999999999999;54;1
pam;4635ohkot;Logique2;26;6;0.9999999999999999;48;0
pam;4635ohkot;Logique2;27;7;0.8999999999999999;55;1
pam;4635ohkot;Logique2;28;7;0.9999999999999999;48;0
pam;4635ohkot;Logique2;29;7;0.8999999999999999;41;0
pam;4635ohkot;Logique2;30;7;0.7999999999999999;34;0
Rachelle;a17b1zejs;Sensoriel;1;1;0;-1;0
Rachelle;a17b1zejs;Sensoriel;2;1;0;-2;0
Rachelle;a17b1zejs;Sensoriel;3;5;0;3;1
Rachelle;a17b1zejs;Sensoriel;4;5;0.1;8;1
Rachelle;a17b1zejs;Sensoriel;5;5;0.2;13;1
Rachelle;a17b1zejs;Sensoriel;6;5;0.30000000000000004;8;0
Rachelle;a17b1zejs;Sensoriel;7;5;0.20000000000000004;13;1
Rachelle;a17b1zejs;Sensoriel;8;5;0.30000000000000004;18;1
Rachelle;a17b1zejs;Sensoriel;9;4;0.4;14;0
Rachelle;a17b1zejs;Sensoriel;10;2;0.30000000000000004;12;0
Rachelle;a17b1zejs;Sensoriel;11;4;0.20000000000000004;16;1
Rachelle;a17b1zejs;Sensoriel;12;3;0.30000000000000004;13;0
Rachelle;a17b1zejs;Sensoriel;13;4;0.20000000000000004;17;1
Rachelle;a17b1zejs;Sensoriel;14;4;0.30000000000000004;13;0
Rachelle;a17b1zejs;Sensoriel;15;5;0.20000000000000004;18;1
Rachelle;a17b1zejs;Sensoriel;16;4;0.30000000000000004;14;0
Rachelle;a17b1zejs;Sensoriel;17;5;0.20000000000000004;19;1
Rachelle;a17b1zejs;Sensoriel;18;5;0.30000000000000004;14;0
Rachelle;a17b1zejs;Sensoriel;19;4;0.20000000000000004;18;1
Rachelle;a17b1zejs;Sensoriel;20;4;0.30000000000000004;14;0
Rachelle;a17b1zejs;Sensoriel;21;4;0.20000000000000004;10;0
Rachelle;a17b1zejs;Sensoriel;22;3;0.10000000000000003;7;0
Rachelle;a17b1zejs;Sensoriel;23;5;2.7755575615628914e-17;12;1
Rachelle;a17b1zejs;Sensoriel;24;5;0.10000000000000003;7;0
Rachelle;a17b1zejs;Sensoriel;25;5;2.7755575615628914e-17;12;1
Rachelle;a17b1zejs;Sensoriel;26;5;0.10000000000000003;17;1
Rachelle;a17b1zejs;Sensoriel;27;5;0.20000000000000004;22;1
Rachelle;a17b1zejs;Sensoriel;28;4;0.30000000000000004;18;0
Rachelle;a17b1zejs;Sensoriel;29;5;0.20000000000000004;13;0
Rachelle;a17b1zejs;Sensoriel;30;5;0.10000000000000003;18;1
Rachelle;a17b1zejs;Motrice;1;4;4.034264097200273;-4;0
Rachelle;a17b1zejs;Motrice;2;1;3.1634973615297346;-5;0
Rachelle;a17b1zejs;Motrice;3;1;2.006938556659452;-4;1
Rachelle;a17b1zejs;Motrice;4;1;3.1634973615297346;-5;0
Rachelle;a17b1zejs;Motrice;5;1;2.006938556659452;-4;1
Rachelle;a17b1zejs;Motrice;6;1;3.1634973615297346;-5;0
Rachelle;a17b1zejs;Motrice;7;1;2.006938556659452;-4;1
Rachelle;a17b1zejs;Motrice;8;1;3.1634973615297346;-5;0
Rachelle;a17b1zejs;Motrice;9;1;2.006938556659452;-4;1
Rachelle;a17b1zejs;Motrice;10;1;3.1634973615297346;-5;0
Rachelle;a17b1zejs;Motrice;11;3;2.006938556659452;-2;1
Rachelle;a17b1zejs;Motrice;12;3;3.1634973615297346;-5;0
Rachelle;a17b1zejs;Motrice;13;3;2.006938556659452;-2;1
Rachelle;a17b1zejs;Motrice;14;3;3.1634973615297346;1;1
Rachelle;a17b1zejs;Motrice;15;3;4.034264097200273;-2;0
Rachelle;a17b1zejs;Motrice;16;3;3.1634973615297346;1;1
Rachelle;a17b1zejs;Motrice;17;3;4.034264097200273;-2;0
Rachelle;a17b1zejs;Motrice;18;5;3.1634973615297346;3;1
Rachelle;a17b1zejs;Motrice;19;6;4.034264097200273;-3;0
Rachelle;a17b1zejs;Motrice;20;6;3.1634973615297346;3;1
Rachelle;a17b1zejs;Motrice;21;6;4.034264097200273;-3;0
Rachelle;a17b1zejs;Motrice;22;6;3.1634973615297346;3;1
Rachelle;a17b1zejs;Motrice;23;6;4.034264097200273;-3;0
Rachelle;a17b1zejs;Motrice;24;6;3.1634973615297346;3;1
Rachelle;a17b1zejs;Motrice;25;7;4.034264097200273;-4;0
Rachelle;a17b1zejs;Motrice;26;7;3.1634973615297346;3;1
Rachelle;a17b1zejs;Motrice;27;7;4.034264097200273;-4;0
Rachelle;a17b1zejs;Motrice;28;7;3.1634973615297346;3;1
Rachelle;a17b1zejs;Motrice;29;7;4.034264097200273;10;1
Rachelle;a17b1zejs;Motrice;30;7;4.7534692783297245;3;0
Rachelle;a17b1zejs;Logique2;1;4;0.1;-4;0
Rachelle;a17b1zejs;Logique2;2;2;0;-2;1
Rachelle;a17b1zejs;Logique2;3;4;0.1;2;1
Rachelle;a17b1zejs;Logique2;4;4;0.2;6;1
Rachelle;a17b1zejs;Logique2;5;7;0.30000000000000004;-1;0
Rachelle;a17b1zejs;Logique2;6;3;0.20000000000000004;2;1
Rachelle;a17b1zejs;Logique2;7;6;0.30000000000000004;-4;0
Rachelle;a17b1zejs;Logique2;8;3;0.20000000000000004;-7;0
Rachelle;a17b1zejs;Logique2;9;6;0.10000000000000003;-1;1
Rachelle;a17b1zejs;Logique2;10;7;0.20000000000000004;6;1
Rachelle;a17b1zejs;Logique2;11;2;0.30000000000000004;8;1
Rachelle;a17b1zejs;Logique2;12;4;0.4;12;1
Rachelle;a17b1zejs;Logique2;13;6;0.5;18;1
Rachelle;a17b1zejs;Logique2;14;7;0.6;25;1
Rachelle;a17b1zejs;Logique2;15;7;0.7;32;1
Rachelle;a17b1zejs;Logique2;16;7;0.7999999999999999;25;0
Rachelle;a17b1zejs;Logique2;17;6;0.7;19;0
Rachelle;a17b1zejs;Logique2;18;3;0.6;16;0
Rachelle;a17b1zejs;Logique2;19;2;0.5;18;1
Rachelle;a17b1zejs;Logique2;20;2;0.6;16;0
Rachelle;a17b1zejs;Logique2;21;2;0.5;14;0
Rachelle;a17b1zejs;Logique2;22;2;0.4;16;1
Rachelle;a17b1zejs;Logique2;23;7;0.5;23;1
Rachelle;a17b1zejs;Logique2;24;2;0.6;21;0
Rachelle;a17b1zejs;Logique2;25;2;0.5;19;0
Rachelle;a17b1zejs;Logique2;26;3;0.4;22;1
Rachelle;a17b1zejs;Logique2;27;5;0.5;27;1
Rachelle;a17b1zejs;Logique2;28;7;0.6;20;0
Rachelle;a17b1zejs;Logique2;29;6;0.5;26;1
Rachelle;a17b1zejs;Logique2;30;2;0.6;28;1
ALEXANDRA;xdkpf0emn;Sensoriel;1;7;0;7;1
ALEXANDRA;xdkpf0emn;Sensoriel;2;7;0.1;14;1
ALEXANDRA;xdkpf0emn;Sensoriel;3;7;0.2;21;1
ALEXANDRA;xdkpf0emn;Sensoriel;4;7;0.30000000000000004;28;1
ALEXANDRA;xdkpf0emn;Sensoriel;5;3;0.4;31;1
ALEXANDRA;xdkpf0emn;Sensoriel;6;2;0.5;29;0
ALEXANDRA;xdkpf0emn;Sensoriel;7;1;0.4;28;0
ALEXANDRA;xdkpf0emn;Sensoriel;8;1;0.30000000000000004;27;0
ALEXANDRA;xdkpf0emn;Sensoriel;9;1;0.20000000000000004;26;0
ALEXANDRA;xdkpf0emn;Sensoriel;10;1;0.10000000000000003;25;0
ALEXANDRA;xdkpf0emn;Sensoriel;11;1;2.7755575615628914e-17;24;0
ALEXANDRA;xdkpf0emn;Sensoriel;12;1;0;23;0
ALEXANDRA;xdkpf0emn;Sensoriel;13;7;0;30;1
ALEXANDRA;xdkpf0emn;Sensoriel;14;5;0.1;35;1
ALEXANDRA;xdkpf0emn;Sensoriel;15;7;0.2;42;1
ALEXANDRA;xdkpf0emn;Sensoriel;16;3;0.30000000000000004;45;1
ALEXANDRA;xdkpf0emn;Sensoriel;17;3;0.4;42;0
ALEXANDRA;xdkpf0emn;Sensoriel;18;3;0.30000000000000004;45;1
ALEXANDRA;xdkpf0emn;Sensoriel;19;1;0.4;44;0
ALEXANDRA;xdkpf0emn;Sensoriel;20;1;0.30000000000000004;43;0
ALEXANDRA;xdkpf0emn;Sensoriel;21;1;0.20000000000000004;42;0
ALEXANDRA;xdkpf0emn;Sensoriel;22;1;0.10000000000000003;41;0
ALEXANDRA;xdkpf0emn;Sensoriel;23;7;2.7755575615628914e-17;48;1
ALEXANDRA;xdkpf0emn;Sensoriel;24;4;0.10000000000000003;44;0
ALEXANDRA;xdkpf0emn;Sensoriel;25;7;2.7755575615628914e-17;51;1
ALEXANDRA;xdkpf0emn;Sensoriel;26;7;0.10000000000000003;58;1
ALEXANDRA;xdkpf0emn;Sensoriel;27;7;0.20000000000000004;65;1
ALEXANDRA;xdkpf0emn;Sensoriel;28;1;0.30000000000000004;64;0
